name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98106,86000US98106,Washington,King,Seattle; White Center,"69,110","3,498","87,301","3,906","37,806","2,015",0,0,"35,625","15,413","86,116","10,112","77,687","6,602","31,680","5,339","11,001","2,029","2,298","1,650","1,297","1,924",978,825
98107,86000US98107,Washington,King,Seattle,"100,178","5,128","132,464","8,289","69,351","4,704",0,0,"71,304","43,613","111,410","12,902","117,083","11,755","40,362","8,197","14,213","1,434","1,515","2,079","2,053","3,348","1,219","2,565"
98108,86000US98108,Washington,King,Boulevard Park; Seattle; Tukwila; White Center,"61,547","5,107","90,304","7,096","33,269","2,566",0,0,"41,154","3,150","79,811","16,213","63,582","12,384","47,583","4,535","8,491","1,821","1,686","1,306",852,"1,540",700,586
98109,86000US98109,Washington,King,Seattle,"106,393","7,683","137,926","7,966","79,951","4,774",0,0,"62,583","27,074","118,692","6,133","101,315","27,248","63,547","29,070","17,342","1,316","2,032","2,171","2,514","4,060","2,299","2,950"
98110,86000US98110,Washington,Kitsap,Bainbridge Island,"117,990","9,255","144,868","8,080","60,533","3,339",0,0,"70,642","58,934","132,179","25,480","144,397","13,997","84,266","12,870","10,115","1,017","1,006","1,113","1,195","2,175","1,277","2,332"
98112,86000US98112,Washington,King,Seattle,"118,305","8,404","207,496","20,361","95,857","8,958",0,0,"45,096","19,225","124,292","12,707","147,198","16,787","84,335","8,655","11,648","1,260","1,405","1,264","1,016","2,014","1,126","3,563"
98115,86000US98115,Washington,King,Kirkland; Seattle,"111,569","5,109","147,430","5,933","63,327","2,455",0,0,"75,962","18,712","121,484","8,778","141,549","12,141","73,544","11,934","22,922","2,602","2,542","2,666","2,538","4,137","2,821","5,616"
98116,86000US98116,Washington,King,Seattle,"121,208","7,755","146,749","8,138","70,526","3,907",0,0,"83,304","33,954","126,849","13,427","146,467","20,184","62,146","10,692","12,997","1,145","1,278","1,612","1,368","2,427","2,259","2,908"
98117,86000US98117,Washington,King,Seattle,"116,871","8,981","153,544","8,705","65,347","3,698",0,0,-1,-1,"132,481","12,955","128,592","10,267","60,230","7,435","14,965","1,152","1,572","1,785","1,601","3,457","1,777","3,621"
98118,86000US98118,Washington,King,Seattle,"82,216","6,750","106,475","5,968","38,751","2,489",0,0,"54,688","28,735","98,618","10,366","93,346","8,914","46,777","3,755","17,318","2,767","2,953","2,471","1,932","3,345","1,851","1,999"
98119,86000US98119,Washington,King,Seattle,"96,768","7,571","143,190","11,414","70,915","5,220",0,0,"41,250","17,150","99,557","11,332","115,425","16,524","66,486","9,044","12,769","1,357","1,970","1,623","1,633","2,283","1,185","2,718"
98121,86000US98121,Washington,King,Seattle,"115,323","13,137","140,491","14,244","93,864","9,069",0,0,"55,000","14,836","131,348","13,871","104,754","47,024",-1,-1,"12,943","2,236","1,482","1,167",939,"2,650","1,439","3,030"
98122,86000US98122,Washington,King,Seattle,"79,609","4,931","118,252","6,566","60,400","3,172",0,0,"42,263","10,989","91,358","9,858","97,500","19,810","41,551","7,779","19,467","3,250","3,116","2,925","1,865","3,169","1,770","3,372"
98125,86000US98125,Washington,King,Seattle,"70,744","6,061","95,556","4,153","43,606","1,663",0,0,"42,734","22,857","84,989","6,977","87,050","13,042","48,325","3,266","19,283","3,122","3,668","3,198","2,519","3,110","1,702","1,964"
98126,86000US98126,Washington,King,Seattle; White Center,"86,983","6,772","111,333","7,117","49,644","2,871",0,0,"39,535","3,217","111,758","7,789","95,469","14,201","45,667","6,272","10,362","1,479","1,694","1,363","1,193","2,054","1,031","1,548"
98133,86000US98133,Washington,King,Seattle; Shoreline,"68,994","3,866","89,379","3,237","41,067","1,412",0,0,"31,200","6,690","82,125","4,199","86,297","9,020","37,514","5,344","21,650","4,145","3,962","3,361","3,198","3,709","1,532","1,743"
98134,86000US98134,Washington,King,Seattle,"83,472","45,355","105,632","29,263","36,111","12,806",0,0,-1,-1,"106,923","45,627",-1,-1,"58,750","16,440",221,0,28,57,35,63,12,26
98136,86000US98136,Washington,King,Seattle,"113,750","13,028","143,156","10,089","64,679","4,462",0,0,-1,-1,"124,891","19,344","127,938","9,496","70,731","17,880","7,612",596,780,"1,027","1,088","1,482",882,"1,757"
98144,86000US98144,Washington,King,Seattle,"78,414","5,355","120,821","10,542","53,282","4,436",0,0,"51,087","16,253","105,625","21,204","91,875","13,894","32,938","3,838","13,947","2,396","2,566","1,753","1,419","2,327","1,223","2,263"
98146,86000US98146,Washington,King,Burien; Seattle; White Center,"78,750","7,807","100,923","6,831","38,028","2,731",0,0,"33,259","3,831","72,157","24,133","95,769","12,493","60,139","9,926","10,200","1,246","2,176","1,537","1,124","2,183",944,990
98148,86000US98148,Washington,King,Burien; Des Moines; Normandy Park; SeaTac,"61,455","7,216","83,242","7,784","32,316","3,166",0,0,"65,000","16,908","62,134","12,318","78,750","19,798","51,250","11,644","4,616",763,"1,070",937,487,811,338,210
98154,86000US98154,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98155,86000US98155,Washington,King,Kenmore; Lake Forest Park; Shoreline,"94,054","4,473","114,497","4,653","45,723","1,743",0,0,"72,917","40,927","114,564","9,519","98,410","8,072","69,884","7,999","13,602","1,388","1,960","1,715","2,171","2,896","1,624","1,848"
98158,86000US98158,Washington,King,SeaTac,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98164,86000US98164,Washington,King,Seattle,"157,829","118,132","219,627","127,085","163,153","89,212",0,0,-1,-1,-1,-1,-1,-1,-1,-1,129,19,19,0,12,12,19,48
98166,86000US98166,Washington,King,Burien; Normandy Park,"83,615","6,308","111,517","9,854","46,382","3,856",0,0,-1,-1,"77,705","12,563","104,569","19,109","66,061","10,909","8,786","1,199","1,343","1,438","1,271","1,443","1,039","1,053"
98168,86000US98168,Washington,King,Boulevard Park; Burien; SeaTac; Tukwila; White Center,"59,120","4,462","74,964","4,074","27,311","1,548",0,0,"51,000","12,861","60,082","8,776","70,657","8,311","44,674","8,775","11,818","1,962","3,100","2,083","1,722","2,011",527,413
98174,86000US98174,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98177,86000US98177,Washington,King,Seattle; Shoreline,"123,672","10,045","160,142","9,222","65,401","3,192",0,0,-1,-1,"140,613","16,394","152,596","10,195","79,028","12,864","8,280",735,918,"1,026",760,"1,568","1,137","2,136"
98178,86000US98178,Washington,King,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,"80,283","6,394","98,171","5,724","36,475","2,557",0,0,"31,928","14,830","91,379","10,343","86,300","7,887","61,507","6,847","9,895","1,482","1,577","1,627","1,252","2,167",997,793
98188,86000US98188,Washington,King,Kent; Renton; SeaTac; Tukwila,"60,586","4,392","89,223","18,721","33,983","7,298",0,0,"53,597","16,085","61,287","8,180","75,890","10,151","46,176","4,000","9,217","1,517","2,211","1,742","1,274","1,529",510,434
98195,86000US98195,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98198,86000US98198,Washington,King,Des Moines; Federal Way; Kent; Normandy Park; SeaTac,"66,906","5,724","90,677","5,671","35,051","2,074",0,0,"45,798","7,653","65,408","8,042","87,044","8,040","53,998","6,689","14,020","1,649","3,024","3,026","1,919","2,762",839,801
98199,86000US98199,Washington,King,Seattle,"114,551","11,112","164,793","12,587","72,265","5,096",0,0,"57,206","40,156","126,011","23,294","136,818","15,945","67,188","16,066","9,883",765,963,"1,329","1,058","1,898","1,199","2,671"
98201,86000US98201,Washington,Snohomish,Everett; Hat Island,"57,179","3,384","74,568","3,886","33,597","1,904",0,0,"42,500","16,941","63,949","7,315","64,003","9,076","37,411","6,640","12,942","3,039","2,649","2,629","1,633","1,715",684,593
98203,86000US98203,Washington,Snohomish,Eastmont; Everett,"73,840","3,554","90,892","3,967","35,761","1,605",0,0,"50,909","35,947","77,481","5,897","90,557","9,204","51,691","5,077","13,903","2,005","2,609","2,466","2,083","2,556","1,177","1,007"
98204,86000US98204,Washington,Snohomish,Everett; Lake Stickney; Mukilteo,"55,978","2,236","66,951","3,285","27,637","1,530",0,0,"50,030","14,558","58,195","5,103","65,507","7,260","32,995","7,725","17,032","3,004","4,425","4,007","2,604","2,069",466,457
98205,86000US98205,Washington,Snohomish,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,"96,233","4,372","105,450","5,546","36,341","2,011",0,0,-1,-1,"99,212","7,597","99,881","12,608","67,169","8,526","5,203",347,424,883,"1,150","1,432",619,348
98207,86000US98207,Washington,Snohomish,Everett,-1,-1,-1,-1,"32,558","3,403",0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
