zipcode,city_name,average_monthly_household_income
98592,Union,5310.5
99033,Tekoa,5288.58
99117,Creston,5251.25
98531,Centralia; Fords Prairie; Grand Mound,5226.83
98620,Goldendale; Maryhill,5223.25
99166,Curlew Lake; Pine Grove; Republic; Torboy,5222.17
99171,St. John,5219.92
98585,,5215.25
98320,Brinnon,5209.08
99156,Newport,5205.58
98337,Bremerton; Port Orchard,5198.58
98860,Wilson Creek,5197.17
99101,Addy,5193.08
99018,Latah,5156.0
99336,Kennewick; Richland,5153.92
98550,Aberdeen; Hogans Corner; Hoquiam; Humptulips; Oyehut,5144.5
98841,Disautel; North Omak; Okanogan; Omak; Riverside,5134.67
98533,,5107.67
99150,Malo,5098.5
99124,Elmer City,5092.25
99130,Colfax; Garfield,5085.0
98564,Mossyrock,5080.67
98295,Peaceful Valley; Sumas,5076.92
99133,Electric City; Grand Coulee,5073.17
99341,Lind,5067.58
98840,Malott; Okanogan; Omak,5044.92
99216,Spokane Valley,5031.67
99125,Endicott,5026.75
98944,Sunnyside,5010.83
99371,Washtucna,4998.67
98315,Bangor Base,4997.92
99143,LaCrosse,4986.08
99333,,4977.92
98499,Lakewood; McChord AFB; Parkland; Tacoma; University Place,4977.17
98283,Marblemount; Rockport,4968.83
99347,Pomeroy,4959.33
99153,Metaline Falls,4912.75
98857,Warden,4910.92
98830,Mansfield,4905.5
98935,Grandview; Mabton,4896.42
99109,Chewelah,4894.5
99169,Ritzville,4888.67
99174,Steptoe,4883.0
99326,Connell; Mesa,4883.0
98851,Lakeview; Soap Lake,4882.42
98817,Chelan Falls,4865.25
98859,,4860.5
99167,,4858.83
98350,,4856.67
98901,Moxee; Terrace Heights; Union Gap; Yakima,4852.83
99329,Dixie,4837.0
99001,Airway Heights; Spokane,4824.5
98845,,4821.58
98331,Forks; Queets,4819.08
98902,Yakima,4775.17
98444,Lakewood; Midland; Parkland; Spanaway; Tacoma,4773.92
99110,Clayton,4752.33
99118,Curlew,4751.75
98640,Ocean Park,4749.33
98526,Amanda Park,4739.58
99115,Banks Lake South; Coulee City,4732.33
98241,Darrington; Swede Heaven,4731.0
99163,Albion; Pullman,4717.58
98814,,4717.25
98357,Neah Bay,4707.0
99346,,4670.0
99105,,4669.33
98575,Neilton,4639.75
98948,Toppenish,4631.5
99155,Nespelem; Nespelem Community,4630.75
98547,Grayland,4628.92
98569,Ocean City; Ocean Shores,4616.25
98824,George,4605.58
98433,DuPont; Fort Lewis; Lakewood; North Fort Lewis,4583.92
99134,Harrington,4582.08
98305,,4569.5
98586,South Bend,4548.5
98812,Brewster; Pateros,4538.08
99202,Spokane; Spokane Valley,4524.33
99359,Starbuck,4521.08
99335,Kahlotus,4495.0
98361,Packwood,4484.83
98336,,4478.33
98647,Grays River; Skamokawa Valley,4467.33
98530,Bucoda,4456.5
98850,Rock Island,4444.83
98325,Port Hadlock-Irondale,4403.67
98304,Ashford,4387.33
99121,Danville,4359.83
98644,,4343.17
99204,Spokane,4332.25
98923,Cowiche,4307.92
98548,Hoodsport,4305.0
99138,Inchelium; Twin Lakes,4303.08
83824,De Smet,4300.92
99140,Keller,4284.17
98813,Bridgeport,4281.5
98326,Clallam Bay,4258.0
83851,Plummer,4257.25
98941,Cle Elum; Roslyn,4250.67
98827,Loomis,4243.08
98356,Morton,4240.5
98583,Satsop,4230.5
98377,,4228.58
99137,,4222.33
98631,Long Beach,4212.83
98535,Copalis Beach; Ocean City,4207.08
98855,Tonasket,4199.08
99013,,4193.0
99207,Spokane,4181.58
98844,Oroville,4178.08
98829,Malott,4161.17
99201,Spokane,4118.67
98439,Fort Lewis; Lakewood; McChord AFB,4116.33
98849,Omak; Riverside,4079.08
98224,Baring,4075.67
98934,Kittitas,4017.25
98673,Wishram,4010.42
98593,Vader,3936.0
83870,Tensed,3919.92
99039,Waverly,3901.33
99129,,3900.75
98819,Conconully,3898.17
99149,Malden,3875.08
98582,,3839.5
98587,Qui-nai-elt Village; Santiago; Taholah,3834.33
98628,Klickitat,3829.0
99330,,3828.33
99017,Lamont,3794.75
99173,Springdale,3716.08
99136,,3679.58
98266,Kendall; Maple Falls; Peaceful Valley,3601.75
98235,Clear Lake,3537.08
99157,Northport,3510.17
98255,Hamilton,3490.42
98555,,3462.83
98527,Bay Center,3438.75
98581,Ryderwood,3413.92
99144,,3403.0
98355,Mineral,3366.5
99040,,3352.67
98614,Chinook,3320.33
98602,,3306.83
98267,Marblemount,3298.0
98670,,3231.08
98852,,3161.92
98297,,3157.0
99151,Marcus,3083.5
99363,Wallula,2860.17
98536,Copalis Beach,2449.42
99146,Laurier,2150.42
99160,Orient,2138.08
98939,Parker,1403.75
98430,North Fort Lewis,-0.08
98238,Conway,-0.08
98421,Fife; Tacoma,-0.08
98921,Buena,-0.08
98195,Seattle,-0.08
98207,Everett,-0.08
98950,Vantage,-0.08
98174,Seattle,-0.08
98158,SeaTac,-0.08
98447,Parkland,-0.08
98154,Seattle,-0.08
98416,Tacoma,-0.08
98641,,-0.08
99164,Pullman,-0.08
98364,,-0.08
98544,,-0.08
98278,Whidbey Island Station,-0.08
98353,,-0.08
99034,,-0.08
98853,,-0.08
98438,McChord AFB,-0.08
98558,McKenna,-0.08
98330,Elbe,-0.08
98559,Malone,-0.08
98562,Moclips; Pacific Beach,-0.08
99321,,-0.08
99020,,-0.08
98929,,-0.08
